Tipo de paro;STATUS;Equipo ;Area que presenta la falla;Componente del area del equipo que presenta falla;Descripción breve ;Descripcion larga;Descubrimiento de la Falla;Síntoma de la falla;IMPacto de la falla;Tipo de falla;Causa de la falla;"Hora del INICIO del trabajo
";"Hora de FINALIZACIÓN del trabajo
";Duracion de trabajo;Nombre del equipo nuevo;Código del componente;HORA INICIO;HORA FIN;WEEK;DAY;Cantidad de tecnicos;Horas hombre;;;
MC;Seguimiento;Rubber Tyred Gantry Crane - K31;Powertrain [RTG10.24];Powertrain-Main Engine (1)-Fuel System [RTG10.24.600.202];FALLAS DE MOTOR EN PUESTA EN MARCHA;DESOBSTRUCCION DE LINEA DE COMBUSTIBLE-BASE FILTRO-REEMPLAZO DE MANGUERAS-REEMPLAZO DE FILTROS-MUESTRA DE MANGUERAS EN PAÑOL PARA FABRICACION;103 MANTENIMIENTO;604 Humo;203 Impacto Operacional;;;23:00:00;07:00:00;8,00;RTG10_;RTG10.24.600.202;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;2;16;;;
MC;No operat.;Empty Handler - 44;"Hydraulic System ""[EH01.15]";Hydraulic System-Pump;GOTEO POR CUERPO DE BOMBA;POR FALTA DE PERSONAL QUEDA FUERA DE SERVICIO PARA SU POSTERIOR REPARACION;102 OPERACIONES;607 Fuga;203 Impacto Operacional;;;;;;EH01_;#N/A;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;0;0;;;
MC;Seguimiento;Reach Stacker - 43;Powertrain [RS08.24];Powertrain-Engine-Engine Control [RS08.24.141.205];SE ACELERA;SE ACELERA SOLO EL MOTOR. SE APAGA EL CONTACTO Y REGULA NUEVAMENTE;102 OPERACIONES;602 Pérdida de desempeño;203 Impacto Operacional;;;;;;RS08_;RS08.24.141.205;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;0;0;;;
MC;Operativa;EMPty Handler - 44;"Hydraulic System ""[EH01.15]";Hydraulic System-PuMP-P003;ReeMPlazo de Bomba de 75cc;Se reeMPlaza bomba por esta fisurada, ademas se ajusta niple del cilindro de inclinacion de la torre. Quedando ok;103 MANTENIMIENTO;607 Fuga;203 IMPacto Operacional;301 Falla Mecánica;404 Relacionado a Mantenimiento;07:00:00;14:00:00;7,00;EH01_;#N/A;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;2;14;;;
MC;No operat.;Rubber Tyred Gantry Crane - K26;LV/Power System [RTG06.04];LV/Power System-Generator [RTG06.04.175];Continuacion instalacion de Generador;Se realiza acoplamiento del generador y motor, se realiza conexion electrica del generador, se coloca el equipo en marcha para  realizar prueba de voltaje y frecuencia estando ok. Se realiza prueba de funcionamiento del equipo realiza todos los movimiento, pero no cierra el spreader ni mueve el los plippers, se observa cable umbilical con cobertura corta, se debe revisar para ver que el cable no tenga ningun daño. Se continua armando periferico, se debe colocar mantas ignifugas, soldadura del ojal fisurado, y reemplazo del motor del booguie 1.;103 MANTENIMIENTO;601 Paro;203 Impacto Operacional;304 Falla Eléctrica;404 Relacionado a Mantenimiento;07:00:00;14:00:00;7,00;RTG06_;RTG06.04.175;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;2;14;;;
MC;No operat.;Rubber Tyred Gantry Crane - K28;Main Hoist [RTG09.05];Main Hoist-Inverter 1/Master [RTG09.05.614];Continuacion de correccion de falla ;Se continua realizando prueba en el NOVA, el cual no le esta llegando voltaje y señal, se estuvo revisando cableado, Invertes, continua revisando.;103 MANTENIMIENTO;601 Paro;203 Impacto Operacional;303 Falla de Control;404 Relacionado a Mantenimiento;07:00:00;14:00:00;7,00;RTG09_;RTG09.05.614;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;2;14;;;
MC;No operat.;Spreader - 22;Control System [SP07.02];Control System-Communication System [SP07.02.091];Revisar falla de Cierre de twislock en twin;Se revisa y se encuentra que no enciende zapatilla lado blanco, se reemplaza y continua la falla, durante la prueba se observa que el cable de la zapatilla que va por la vara al moverlo da señal, se debe reemplazar ;103 MANTENIMIENTO;602 Pérdida de desempeño;203 Impacto Operacional;303 Falla de Control;404 Relacionado a Mantenimiento;07:00:00;14:00:00;7,00;SP07_;SP07.02.091;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;2;14;;;
MC;Seguimiento;Mobile Harbour Crane - 08;Rotating Unit [MHC02.61];Rotating Unit-Structure-Hook [MHC02.61.315.141];Gancho;Se realiza reeMPlazo de gancho, continua el personal en la puesta en marcha del equipo.;103 MANTENIMIENTO;602 Pérdida de deseMPeño;203 IMPacto Operacional;303 Falla de Control;404 Relacionado a Mantenimiento;07:00:00;14:00:00;7,00;MHC02_;MHC02.61.315.141;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;2;14;;;
MC;No operat.;Spreader - 18;Control System [SP03.02];Control System-Communication System [SP03.02.091];Error 35;Durante los preoperativo fallo de vuelta el spreader 18 con el error 35;103 MANTENIMIENTO;601 Paro;203 Impacto Operacional;303 Falla de Control;404 Relacionado a Mantenimiento;11:10:00;11:50:00;0,67;SP03_;SP03.02.091;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;2;1,333333333;;;
Preoperativo;Operativa;Mobile Harbour Crane - 09;Mobile Harbour Crane - 03 [MHC03];NO ID;Preoperativo;Nivel de aceite 10800ua a 34 mtrs, spreader21;103 MANTENIMIENTO;;;399  No hay falla;404 Relacionado a Mantenimiento;07:00:00;08:30:00;1,50;MHC03_;#N/A;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;2;3;;;
Preoperativo;Seguimiento;Mobile Harbour Crane - 10;Mobile Harbour Crane - 04 [MHC04];NO ID;Preoperativo;Nivel de aceite 9900ua a 22 mtrs, spreader, durante el Preoperativo se observa que no gira el gancho, continuan trabajando en el.;103 MANTENIMIENTO;;;;404 Relacionado a Mantenimiento;12:00:00;14:00:00;2,00;MHC04_;#N/A;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;2;4;;;
Preoperativo;Operativa;Mobile Harbour Crane - 11;Mobile Harbour Crane - 05 [MHC05];NO ID;Preoperativo;Nivel de aceite 11200ua a 17 mtrs, spreader 19;103 MANTENIMIENTO;;;399  No hay falla;404 Relacionado a Mantenimiento;10:00:00;11:30:00;1,50;MHC05_;#N/A;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;2;3;;;
Preoperativo;Operativa;Mobile Harbour Crane - 12;Mobile Harbour Crane - 06 [MHC06];NO ID;Preoperativo;Nivel de aceite 14500ua a 27 mtrs, spreader23;103 MANTENIMIENTO;;;399  No hay falla;404 Relacionado a Mantenimiento;08:30:00;10:00:00;1,50;MHC06_;#N/A;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;2;3;;;
AO;Operativa;Rubber Tyred Gantry Crane - K20;Gantry [RTG05.07];Gantry-Motor-Encod./Limit Sw./Sens [RTG05.07.233.158];Equipo no traslada;Se asiste en el cruce de calle debido a que el booguie no giraba del todo, se asiste desde sala electrica;102 OPERACIONES;601 Paro;203 Impacto Operacional;303 Falla de Control;404 Relacionado a Mantenimiento;10:10:00;10:30:00;0,33;RTG05_;RTG05.07.233.158;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;2;0,666666667;;;
AO;Operativa;Rubber Tyred Gantry Crane - K11;Main Hoist [RTG02.05];Main Hoist-Inverter 1/Master [RTG02.05.614];No encienden los drivers;Se asiste para el encendido de los drivers, se encuentra falla F33, se reinicia el equipo quedando ok.;102 OPERACIONES;601 Paro;203 Impacto Operacional;304 Falla Eléctrica;404 Relacionado a Mantenimiento;11:20:00;11:35:00;0,25;RTG02_;RTG02.05.614;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;2;0,5;;;
MC;Seguimiento;Overheight - 02;Twistlock System [OHF02.56];Twistlock System [OHF02.56];Falla de trabado;Se realiza revision del equipo, se procede a reparar el mismo se cambian bulones cortados, queda pendiente probar el equipo con una maquina.;103 MANTENIMIENTO;609 Roto/doblado;203 Impacto Operacional;301 Falla Mecánica;403 Daño;07:00:00;14:00:00;7,00;OHF02_;#N/A;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;2;14;;;
MC;Operativa;Mobile Harbour Crane - 08;Rotating Unit [MHC02.61];Rotating Unit-Slewing-Hydraulic Components [MHC02.61.303.156];se cambio motor electrico;se cambio motor electrico , bomba electrica , se invirtieron mangueras del bloque por estar mal colocadas . ;102 OPERACIONES;601 Paro;203 Impacto Operacional;301 Falla Mecánica;;14:00:00;15:00:00;1,00;MHC02_;MHC02.61.303.156;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;3;3;;;
MC;Operativa;Mobile Harbour Crane - 10;Rotating Unit [MHC04.61];Rotating Unit-Slewing [MHC04.61.303];Gancho;se reemplazo cable cortado de manojo por votro auxiliar de reserva. Programar cambio de cable reel , no tiene mas cables auxiliares . Cambiar el gancho ,por que aparentemente  se esta clabando  el buje de bronce ;102 OPERACIONES;601 Paro;203 Impacto Operacional;301 Falla Mecánica;;14:00:00;15:00:00;1,00;MHC04_;MHC04.61.303;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;2;2;;;
AO;Operativa;Mobile Harbour Crane - 11;Main Hoist [MHC05.05];Main Hoist-Slack Rope Detection [MHC05.05.301];falla operativa;se asistio por falla operativa, se asiste por limite de hoist ,se realiza puente por estar la grua muy pegada al buque .;102 OPERACIONES;602 Pérdida de desempeño;203 Impacto Operacional;399  No hay falla;;18:20:00;18:45:00;0,42;MHC05_;MHC05.05.301;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;2;0,833333333;;;
MC;No operat.;Rubber Tyred Gantry Crane - K26;Gantry [RTG06.07];Gantry-Motor-Encod./Limit Sw./Sens-P001 [RTG06.07.233.158.P001];reparacion de boogey;se cambia motor de bogie 1 , se arman los perifericos del generador , la maquina queda con la falla del cable umbilical .;102 OPERACIONES;601 Paro;203 Impacto Operacional;301 Falla Mecánica;;14:00:00;22:00:00;8,00;RTG06_;RTG06.07.233.158.P001;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;2;16;;;
MC;No operat.;Rubber Tyred Gantry Crane - K28;Gantry [RTG09.07];Gantry-Electrical Drive-P002 [RTG09.07.125.P002];reparacion de inverter de boogey 2;se reviso  y cambiaron placas de inverter  sin encontrar solucion;102 OPERACIONES;601 Paro;203 Impacto Operacional;304 Falla Eléctrica;;14:00:00;22:00:00;8,00;RTG09_;RTG09.07.125.P002;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;2;16;;;
AO;Operativa;Rubber Tyred Gantry Crane - K20;Gantry [RTG05.07];Gantry-Anti-Collis Crane-Crane [RTG05.07.013];sistema anticolision;la unidad no traslada por estar tocando la estiba ;;;;;;;;;RTG05_;RTG05.07.013;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;0;0;;;
AO;Operativa;Mobile Harbour Crane - 08;Spreader [MHC02.30];Spreader [MHC02.30];Desmontar el spreadr de la grua;Se saca el spreader de la grua para tenerlo de backup;103 MANTENIMIENTO;602 Pérdida de desempeño;203 Impacto Operacional;399  No hay falla;404 Relacionado a Mantenimiento;23:10:00;23:25:00;0,25;MHC02_;MHC02.30;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;2;3;0,75;;;
AO;Operativa;Rubber Tyred Gantry Crane - K3;Main Structure [RTG07.03];Main Structure-Electrical House [RTG07.03.124];Equipo no traslada;Se revisa y estaba caida la escalera, se normaliza la posicion de la misma y queda operativa;102 OPERACIONES;602 Pérdida de desempeño;203 Impacto Operacional;301 Falla Mecánica;404 Relacionado a Mantenimiento;00:58:00;01:12:00;0,23;RTG07_;RTG07.03.124;viernes, 2 de junio de 2023;viernes, 2 de junio de 2023;22;2;3;0,7;;;
BD;Operativa;Reach Stacker - 38;Powertrain [RS03.24];Powertrain-Engine-Oil System [RS03.24.141.201];La maquina se le apaga constantemente;Se trae la maquina al taller se revisa y se le agregan 10 l de aceite del motor, luego se revisa el combustible estaba bajo, se completa se prueba la maquina y continua operativa;102 OPERACIONES;602 Pérdida de desempeño;203 Impacto Operacional;301 Falla Mecánica;404 Relacionado a Mantenimiento;23:42:00;00:00:00;0,30;RS03_;RS03.24.141.201;viernes, 2 de junio de 2023;viernes, 2 de junio de 2023;22;2;3;0,9;;;
AO;Operativa;Empty Handler - 44;"Spreader Comp. ""[EH01.14]";Spreader Comp.-Twistlock System-Landing Pin;se cae el contenedor de un lado sobre el camion;Se asiste a revisar la maquina y se encuentra que el operador apoyo el contenedor sobre las guias del camion y no sobre la plataforma por eso se le trabo el spreader se asiste se destraba y continua operativa;102 OPERACIONES;602 Pérdida de desempeño;203 Impacto Operacional;301 Falla Mecánica;404 Relacionado a Mantenimiento;01:53:00;02:07:00;0,23;EH01_;#N/A;viernes, 2 de junio de 2023;viernes, 2 de junio de 2023;22;2;3;0,7;;;
BD;Operativa;Mobile Harbour Crane - 08;Spreader Control [MHC02.29];Spreader Control [MHC02.29];instalacion de spreader;se le instala el spreader a la grua para remplazar  la grua 10;103 MANTENIMIENTO;602 Pérdida de desempeño;203 Impacto Operacional;399  No hay falla;404 Relacionado a Mantenimiento;03:05:00;03:25:00;0,33;MHC02_;MHC02.29;viernes, 2 de junio de 2023;viernes, 2 de junio de 2023;22;2;3;1;;;
BD;Seguimiento;Mobile Harbour Crane - 10;Rotating Unit [MHC04.61];Rotating Unit-Structure-Hook [MHC04.61.315.141];Gancho;EL operador al iniciar el turno indica que el gancho se le traba constantemente que al girarlo tiene problemas, que va a trabajar asi y que se remplazaria la grua en el cambio de bay,  posiblemente esta dañado el buje de bronce, se saca la grua ;102 OPERACIONES;602 Pérdida de desempeño;203 Impacto Operacional;301 Falla Mecánica;404 Relacionado a Mantenimiento;04:10:00;04:25:00;0,25;MHC04_;MHC04.61.315.141;viernes, 2 de junio de 2023;viernes, 2 de junio de 2023;22;2;3;0,75;;;
MC;Seguimiento;Rubber Tyred Gantry Crane - K31;Operator Cabin [RTG10.01];Operator Cabin-Console/Display/Joystick [RTG10.01.099];Normalizar funcionamiento de las camaras;Personal de jph, normaliza el funcionamiento de las camara de traslado-camion, tener en cuenta que sigue el diley pero ya las camaras una vez que cambio de posicion queda la imagen enfocada, por conversaciones con el tecnico ajusto unas fichas coaxiales, se prueba con el operador y indica que si puede trabajar en esas condiciones;102 OPERACIONES;602 Pérdida de desempeño;203 Impacto Operacional;304 Falla Eléctrica;404 Relacionado a Mantenimiento;23:00:00;04:25:00;5,42;RTG10_;RTG10.01.099;viernes, 2 de junio de 2023;viernes, 2 de junio de 2023;22;2;2;10,83333333;;;
MC;No operat.;Rubber Tyred Gantry Crane - K26;Spreader [RTG06.30];Spreader-Electrical System-Electrical Components [RTG06.30.127.154];No cierra de abre el spreader y no baja los flipper;Se revisa el spreader se encuentra falla de comunicacion del cable, se reviso si se observaba alguna parte del cable rota no se logro observa adicional a eso se revisaron termica y estan todas activa, se suspende el trabajo porque solo quedaba ver el cableado dela fichas en la parte superior;103 MANTENIMIENTO;602 Pérdida de desempeño;203 Impacto Operacional;304 Falla Eléctrica;404 Relacionado a Mantenimiento;23:00:00;01:45:00;2,75;RTG06_;RTG06.30.127.154;viernes, 2 de junio de 2023;viernes, 2 de junio de 2023;22;2;2;5,5;;;
MC;Operativa;Empty Handler - 45;"Spreader Comp. ""[EH02.14]";"Spreader Comp. ""[EH02.14]";Falla spreader;Se revisa la falla del spreader se encuentra roto el cable de sensor twinslock el que va por la la cadena, quedo reparado de forma provisoria luego se debera programar remplazar el cable completo;103 MANTENIMIENTO;602 Pérdida de desempeño;203 Impacto Operacional;304 Falla Eléctrica;404 Relacionado a Mantenimiento;02:10:00;05:45:00;3,58;EH02_;#N/A;viernes, 2 de junio de 2023;viernes, 2 de junio de 2023;22;2;2;7,166666667;;;
MC;Operativa;Reach Stacker - 38;Powertrain [RS03.24];Powertrain-Engine-Oil System [RS03.24.141.201];La maquina se le apaga constantemente;Se trae la maquina al taller se revisa y se le agregan 10 l de aceite del motor, luego se revisa el combustible estaba bajo, se completa se prueba la maquina y continua operativa;102 OPERACIONES;602 Pérdida de desempeño;203 Impacto Operacional;301 Falla Mecánica;404 Relacionado a Mantenimiento;00:00:00;01:12:00;1,20;RS03_;RS03.24.141.201;viernes, 2 de junio de 2023;viernes, 2 de junio de 2023;22;2;3;3,6;;;
AO;Operativa;Rubber Tyred Gantry Crane - K11;LV/Power System [RTG02.04];LV/Power System [RTG02.04];No enciende el equipo;Se asiste al equipo debido a que no puede encender desde cabina el operador, estaba en local, se enciende equipo quedando ok.;102 OPERACIONES;601 Paro;203 Impacto Operacional;399  No hay falla;404 Relacionado a Mantenimiento;07:10:00;07:25:00;0,25;RTG02_;RTG02.04;viernes, 2 de junio de 2023;viernes, 2 de junio de 2023;22;2;4;1;;;
AO;Operativa;Mobile Harbour Crane - 12;Spreader [MHC06.30];Spreader-Flipper System-Flipper Assembly [MHC06.30.387.163];No funciona flipper;Spreader 20 Se revisa y no esta funcionando un flipper verde, se procede anular el mismo debido a que no puede subir, programar revision al finalizar el buque;102 OPERACIONES;602 Pérdida de desempeño;203 Impacto Operacional;301 Falla Mecánica;403 Daño;06:28:00;06:40:00;0,20;MHC06_;MHC06.30.387.163;viernes, 2 de junio de 2023;viernes, 2 de junio de 2023;22;2;4;0,8;;;
AO;Operativa;Rubber Tyred Gantry Crane - K16;Spreader Control [RTG03.29];Spreader Control-Electrical Drive [RTG03.29.125];Se apago el semaforo del spreader;Se revisa el equipo, se le indica al operador que apague y encienda ñlos drivers nuevamente y se normaliza el semaforo, quedando ok.;102 OPERACIONES;601 Paro;203 Impacto Operacional;303 Falla de Control;404 Relacionado a Mantenimiento;07:27:00;07:39:00;0,20;RTG03_;RTG03.29.125;viernes, 2 de junio de 2023;viernes, 2 de junio de 2023;22;2;4;0,8;;;
AO;Operativa;Rubber Tyred Gantry Crane - K20;Spreader Control [RTG05.29];Spreader Control [RTG05.29];Se apago el semaforo del spreader;Se revisa el equipo, se le indica al operador que apague y encienda ñlos drivers nuevamente y se normaliza el semaforo, quedando ok.;102 OPERACIONES;601 Paro;203 Impacto Operacional;303 Falla de Control;404 Relacionado a Mantenimiento;08:20:00;08:35:00;0,25;RTG05_;RTG05.29;viernes, 2 de junio de 2023;viernes, 2 de junio de 2023;22;2;4;1;;;
BD;Operativa;Mobile Harbour Crane - 09;Spreader Control [MHC03.29];Spreader Control-Cable [MHC03.29.065];Falla del spreader;Se procede a revisar y estaba desconectado la ficha de sensor de twislock abierto lado negro, se conecta se prueba funcionamiento quedando ok.;102 OPERACIONES;601 Paro;203 Impacto Operacional;303 Falla de Control;403 Daño;09:44:00;09:57:00;0,22;MHC03_;MHC03.29.065;viernes, 2 de junio de 2023;viernes, 2 de junio de 2023;22;2;4;0,866666667;;;
MC;Operativa;Spreader - 23;Twin System [SP08.95];Twin System-Encod./Limit Sw./Sens. [SP08.95.139];Falla trabado en twins;Se revisa y se encuentra dañado sensor de landing de twin lado agua, se reemplaza quedando ok, ademas se observa 2 sensores de twislock cerrado que estaban marcados, se aprovecha y se reemplazan quedando ok. Se lleva al muelle;103 MANTENIMIENTO;601 Paro;;304 Falla Eléctrica;403 Daño;07:00:00;11:00:00;4,00;SP08_;SP08.95.139;viernes, 2 de junio de 2023;viernes, 2 de junio de 2023;22;2;2;8;;;
MC;Operativa;Spreader - 22;Control System [SP07.02];Control System-Communication System [SP07.02.091];Falla comunicacion en zapatilla;Se procede a revisar y se realiza limpieza y ajuste de coneccion en zapatilla que esta la tower detras del tablero, la misma no se habia revisado y lleva la comunicacion desde el plc al x100, se prueba funcionamiento en taller, quedando ok, se lleva hasta el muelle;103 MANTENIMIENTO;601 Paro;;303 Falla de Control;404 Relacionado a Mantenimiento;07:00:00;12:00:00;5,00;SP07_;SP07.02.091;viernes, 2 de junio de 2023;viernes, 2 de junio de 2023;22;2;4;20;;;
BD;Operativa;Rubber Tyred Gantry Crane - K20;Main Hoist [RTG05.05];Main Hoist-Anti-Sway System-Wire Rope-P003 [RTG05.05.015.306.P003];Cable a de ACM3 se salio de la polea;Se procede a corregir y normalizar el funcionamiento debido a que se habia salido el cable de acm, quedando ok.;102 OPERACIONES;612 Desgaste;203 Impacto Operacional;301 Falla Mecánica;406 Externo;10:58:00;11:22:00;0,40;RTG05_;RTG05.05.015.306.P003;viernes, 2 de junio de 2023;viernes, 2 de junio de 2023;22;2;4;1,6;;;
BD;Operativa;Reach Stacker - 43;Operator Cabin [RS08.01];Operator Cabin-Console/Display/Joystick [RS08.01.099];Falla del Joystick;Se revisa y esta dañado el Joystick se procede a realizar reemplazo del mismo, se prueba funcionamiento quedando ok.;102 OPERACIONES;609 Roto/doblado;203 Impacto Operacional;303 Falla de Control;404 Relacionado a Mantenimiento;12:10:00;12:30:00;0,33;RS08_;RS08.01.099;viernes, 2 de junio de 2023;viernes, 2 de junio de 2023;22;2;4;1,333333333;;;
BD;Seguimiento;Reach Stacker - 38;Powertrain [RS03.24];Powertrain [RS03.24];Falla Potencia del Motor;Se revisa y le cuesta acelera al equipo, se informa que se para el equipo debido a que tiene MP atrasado y se revisaran los filtros, ;102 OPERACIONES;602 Pérdida de desempeño;203 Impacto Operacional;301 Falla Mecánica;404 Relacionado a Mantenimiento;13:30:00;14:00:00;0,50;RS03_;RS03.24;viernes, 2 de junio de 2023;viernes, 2 de junio de 2023;22;2;4;2;;;
AO;Operativa;Mobile Harbour Crane - 08;Spreader Control [MHC02.29];Spreader Control-Hydraulic System [MHC02.29.203];Perdida de Aceite;Se revisa y esta tirando aceite el equipo por el cilindro de twislock debido a que estaba floja la conexion, se ajusta la misma se limpia un poco el spreader y que queda operativa;102 OPERACIONES;607 Fuga;203 Impacto Operacional;301 Falla Mecánica;403 Daño;13:40:00;14:00:00;0,33;MHC02_;MHC02.29.203;viernes, 2 de junio de 2023;viernes, 2 de junio de 2023;22;2;4;1,333333333;;;
MC;No operat.;Mobile Harbour Crane - 10;Spreader Control [MHC04.29];Spreader Control-Cable Reel [MHC04.29.069];Gancho;Se procede a revisar y se encuentra que esta dañado el cable de alimentacion de la electrovalvula de freno del gancho y no hay mas cable de reserva, por lo que se decide reemplazar el cable reel, se inicia el reemplazo del mismo.;103 MANTENIMIENTO;609 Roto/doblado;203 Impacto Operacional;303 Falla de Control;404 Relacionado a Mantenimiento;07:00:00;14:00:00;7,00;MHC04_;MHC04.29.069;viernes, 2 de junio de 2023;viernes, 2 de junio de 2023;22;2;2;14;;;
MC;No operat.;Rubber Tyred Gantry Crane - K28;Main Hoist [RTG09.05];Main Hoist-Inverter 1/Master [RTG09.05.614];Falla Drivers;Se continua en busqueda de la falla de los inverter de hoist, se reemplazan plaquetas, nova, sin ninguna avance;103 MANTENIMIENTO;601 Paro;203 Impacto Operacional;303 Falla de Control;404 Relacionado a Mantenimiento;07:00:00;14:00:00;7,00;RTG09_;RTG09.05.614;viernes, 2 de junio de 2023;viernes, 2 de junio de 2023;22;2;2;14;;;
